datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,kommentar
2020-01-02,23:30:00,23:45:00,Arnulf,0,0,0,NA
2020-01-02,23:45:00,00:00:00,Arnulf,0,0,0,NA
2020-01-03,00:00:00,00:15:00,Arnulf,4,0,4,NA
2020-01-03,00:15:00,00:30:00,Arnulf,0,1,1,NA
2020-01-03,00:30:00,00:45:00,Arnulf,0,0,0,NA
2020-01-03,00:45:00,01:00:00,Arnulf,0,0,0,NA
2020-01-03,01:00:00,01:15:00,Arnulf,1,0,1,NA
2020-01-03,01:15:00,01:30:00,Arnulf,0,0,0,NA
2020-01-03,01:30:00,01:45:00,Arnulf,0,0,0,NA
2020-01-03,01:45:00,02:00:00,Arnulf,0,0,0,NA
2020-01-03,02:00:00,02:15:00,Arnulf,0,0,0,NA
2020-01-03,02:15:00,02:30:00,Arnulf,0,0,0,NA
2020-01-03,02:30:00,02:45:00,Arnulf,0,0,0,NA
2020-01-03,02:45:00,03:00:00,Arnulf,0,0,0,NA
2020-01-03,03:00:00,03:15:00,Arnulf,0,0,0,NA
2020-01-03,03:15:00,03:30:00,Arnulf,0,0,0,NA
2020-01-03,03:30:00,03:45:00,Arnulf,1,0,1,NA
2020-01-03,03:45:00,04:00:00,Arnulf,0,0,0,NA
2020-01-03,04:00:00,04:15:00,Arnulf,0,0,0,NA
2020-01-03,04:15:00,04:30:00,Arnulf,0,0,0,NA
2020-01-03,04:30:00,04:45:00,Arnulf,1,0,1,NA
2020-01-03,04:45:00,05:00:00,Arnulf,0,1,1,NA
2020-01-03,05:00:00,05:15:00,Arnulf,2,0,2,NA
2020-01-03,05:15:00,05:30:00,Arnulf,4,1,5,NA
2020-01-03,05:30:00,05:45:00,Arnulf,1,0,1,NA
2020-01-03,05:45:00,06:00:00,Arnulf,6,0,6,NA
2020-01-03,06:00:00,06:15:00,Arnulf,6,1,7,NA
2020-01-03,06:15:00,06:30:00,Arnulf,4,0,4,NA
2020-01-03,06:30:00,06:45:00,Arnulf,6,0,6,NA
2020-01-03,06:45:00,07:00:00,Arnulf,4,1,5,NA
2020-01-03,07:00:00,07:15:00,Arnulf,6,0,6,NA
2020-01-03,07:15:00,07:30:00,Arnulf,6,0,6,NA
2020-01-03,07:30:00,07:45:00,Arnulf,8,1,9,NA
2020-01-03,07:45:00,08:00:00,Arnulf,9,0,9,NA
2020-01-03,08:00:00,08:15:00,Arnulf,11,2,13,NA
2020-01-03,08:15:00,08:30:00,Arnulf,17,1,18,NA
2020-01-03,08:30:00,08:45:00,Arnulf,16,0,16,NA
2020-01-03,08:45:00,09:00:00,Arnulf,16,1,17,NA
2020-01-03,09:00:00,09:15:00,Arnulf,10,0,10,NA
2020-01-03,09:15:00,09:30:00,Arnulf,10,1,11,NA
2020-01-03,09:30:00,09:45:00,Arnulf,11,0,11,NA
2020-01-03,09:45:00,10:00:00,Arnulf,11,0,11,NA
2020-01-03,10:00:00,10:15:00,Arnulf,7,0,7,NA
2020-01-03,10:15:00,10:30:00,Arnulf,9,1,10,NA
2020-01-03,10:30:00,10:45:00,Arnulf,8,2,10,NA
2020-01-03,10:45:00,11:00:00,Arnulf,7,0,7,NA
2020-01-03,11:00:00,11:15:00,Arnulf,3,0,3,NA
2020-01-03,11:15:00,11:30:00,Arnulf,9,1,10,NA
2020-01-03,11:30:00,11:45:00,Arnulf,14,0,14,NA
2020-01-03,11:45:00,12:00:00,Arnulf,10,2,12,NA
2020-01-03,12:00:00,12:15:00,Arnulf,13,1,14,NA
2020-01-03,12:15:00,12:30:00,Arnulf,11,0,11,NA
2020-01-03,12:30:00,12:45:00,Arnulf,9,2,11,NA
2020-01-03,12:45:00,13:00:00,Arnulf,16,0,16,NA
2020-01-03,13:00:00,13:15:00,Arnulf,7,2,9,NA
2020-01-03,13:15:00,13:30:00,Arnulf,13,0,13,NA
2020-01-03,13:30:00,13:45:00,Arnulf,9,2,11,NA
2020-01-03,13:45:00,14:00:00,Arnulf,8,0,8,NA
2020-01-03,14:00:00,14:15:00,Arnulf,12,1,13,NA
2020-01-03,14:15:00,14:30:00,Arnulf,13,1,14,NA
2020-01-03,14:30:00,14:45:00,Arnulf,10,0,10,NA
2020-01-03,14:45:00,15:00:00,Arnulf,11,1,12,NA
2020-01-03,15:00:00,15:15:00,Arnulf,12,0,12,NA
2020-01-03,15:15:00,15:30:00,Arnulf,16,1,17,NA
2020-01-03,15:30:00,15:45:00,Arnulf,15,0,15,NA
2020-01-03,15:45:00,16:00:00,Arnulf,12,0,12,NA
