Year,Month,DayOfWeek,Hour,Total
2019,2,2,12,114.75
2019,2,2,13,126.25
2019,2,2,14,132.0
2019,2,2,15,162.25
2019,2,2,16,186.25
2019,2,2,17,281.0
2019,2,2,18,288.25
2019,2,2,19,197.25
2019,2,2,20,110.25
2019,2,2,21,67.0
2019,2,2,22,74.25
2019,2,2,23,53.75
2019,2,3,0,13.0
2019,2,3,1,3.75
2019,2,3,2,2.5
2019,2,3,3,2.25
2019,2,3,4,3.75
2019,2,3,5,14.75
2019,2,3,6,62.75
2019,2,3,7,218.75
2019,2,3,8,387.5
2019,2,3,9,190.75
2019,2,3,10,103.0
2019,2,3,11,93.75
2019,2,3,12,119.5
2019,2,3,13,145.0
2019,2,3,14,142.25
2019,2,3,15,177.0
2019,2,3,16,207.25
2019,2,3,17,289.75
2019,2,3,18,319.25
2019,2,3,19,184.25
2019,2,3,20,118.25
2019,2,3,21,84.0
2019,2,3,22,76.75
2019,2,3,23,41.0
2019,2,4,0,15.5
2019,2,4,1,7.0
2019,2,4,2,2.5
2019,2,4,3,2.5
2019,2,4,4,4.5
2019,2,4,5,17.0
2019,2,4,6,70.75
2019,2,4,7,226.25
2019,2,4,8,390.0
2019,2,4,9,226.25
2019,2,4,10,126.75
2019,2,4,11,111.5
2019,2,4,12,135.25
2019,2,4,13,148.25
2019,2,4,14,168.25
2019,2,4,15,170.75
2019,2,4,16,228.5
2019,2,4,17,308.75
2019,2,4,18,317.25
2019,2,4,19,200.5
2019,2,4,20,107.0
2019,2,4,21,79.25
2019,2,4,22,71.0
2019,2,4,23,49.0
2019,2,5,0,10.25
2019,2,5,1,7.5
2019,2,5,2,3.75
2019,2,5,3,1.5
2019,2,5,4,3.0
2019,2,5,5,16.5
2019,2,5,6,47.5
2019,2,5,7,167.0
2019,2,5,8,253.25
2019,2,5,9,159.25
2019,2,5,10,86.5
2019,2,5,11,87.0
2019,2,5,12,107.75
2019,2,5,13,139.0
2019,2,5,14,150.5
2019,2,5,15,164.5
2019,2,5,16,177.25
2019,2,5,17,184.0
2019,2,5,18,186.75
2019,2,5,19,141.75
2019,2,5,20,78.25
2019,2,5,21,51.75
2019,2,5,22,56.75
2019,2,5,23,38.0
2019,2,6,0,30.5
2019,2,6,1,18.5
2019,2,6,2,12.0
2019,2,6,3,5.25
2019,2,6,4,2.75
2019,2,6,5,8.5
2019,2,6,6,9.75
2019,2,6,7,18.5
2019,2,6,8,34.75
2019,2,6,9,68.75
2019,2,6,10,83.0
2019,2,6,11,116.25
2019,2,6,12,134.75
2019,2,6,13,168.25
2019,2,6,14,201.5
2019,2,6,15,181.0
2019,2,6,16,168.75
2019,2,6,17,130.75
2019,2,6,18,96.0
2019,2,6,19,80.0
2019,2,6,20,51.25
2019,2,6,21,39.0
2019,2,6,22,36.5
2019,2,6,23,27.0
2019,2,7,0,23.5
2019,2,7,1,18.25
2019,2,7,2,12.0
2019,2,7,3,6.0
2019,2,7,4,3.5
2019,2,7,5,6.0
2019,2,7,6,8.0
2019,2,7,7,11.0
2019,2,7,8,27.5
2019,2,7,9,49.75
2019,2,7,10,88.25
2019,2,7,11,109.5
2019,2,7,12,172.0
2019,2,7,13,235.75
2019,2,7,14,215.0
2019,2,7,15,214.0
2019,2,7,16,218.5
2019,2,7,17,150.5
2019,2,7,18,91.5
2019,2,7,19,54.75
2019,2,7,20,30.0
2019,2,7,21,27.25
2019,2,7,22,21.25
