Time,Gesamt,StadteinwÃ¤rts,StadtauswÃ¤rts
2023-10-25T00:00:00,340,0,340
2023-10-26T00:00:00,499,0,499
2023-10-27T00:00:00,248,0,248
2023-10-28T00:00:00,327,0,327
2023-10-29T00:00:00,152,0,152
2023-10-30T00:00:00,428,0,428
2023-10-31T00:00:00,0,0,0
2023-11-01T00:00:00,0,0,0
2023-11-02T00:00:00,0,0,0
2023-11-03T00:00:00,0,0,0
2023-11-04T00:00:00,0,0,0
2023-11-05T00:00:00,0,0,0
2023-11-06T00:00:00,0,0,0
2023-11-07T00:00:00,0,0,0
2023-11-08T00:00:00,0,0,0
2023-11-09T00:00:00,0,0,0
2023-11-10T00:00:00,0,0,0
2023-11-11T00:00:00,0,0,0
2023-11-12T00:00:00,0,0,0
2023-11-13T00:00:00,0,0,0
2023-11-14T00:00:00,0,0,0
2023-11-15T00:00:00,0,0,0
2023-11-16T00:00:00,0,0,0
2023-11-17T00:00:00,0,0,0
2023-11-18T00:00:00,0,0,0
2023-11-19T00:00:00,0,0,0
2023-11-21T00:00:00,0,0,0
2023-11-22T00:00:00,0,0,0
2023-11-23T00:00:00,0,0,0
2023-11-24T00:00:00,0,0,0
2023-11-25T00:00:00,0,0,0
2023-11-26T00:00:00,100,0,100
2023-11-27T00:00:00,196,0,196
2023-11-28T00:00:00,270,0,270
2023-11-29T00:00:00,263,0,263
2023-11-30T00:00:00,345,0,345
2023-12-01T00:00:00,283,0,283
2023-12-02T00:00:00,222,0,222
2023-12-03T00:00:00,129,0,129
2023-12-04T00:00:00,241,0,241
2023-12-05T00:00:00,256,0,256
2023-12-06T00:00:00,300,0,300
2023-12-07T00:00:00,781,386,395
2023-12-08T00:00:00,411,87,324
2023-12-09T00:00:00,223,0,223
2023-12-10T00:00:00,254,94,160
2023-12-11T00:00:00,650,310,340
2023-12-12T00:00:00,762,372,390
2023-12-14T00:00:00,745,358,387
2023-12-15T00:00:00,731,351,380
2023-12-16T00:00:00,564,275,289
2023-12-17T00:00:00,300,146,154
2023-12-18T00:00:00,867,431,436
2023-12-19T00:00:00,522,252,270
2023-12-20T00:00:00,616,300,316
2023-12-21T00:00:00,375,168,207
2023-12-22T00:00:00,343,169,174
2023-12-23T00:00:00,256,105,151
2023-12-24T00:00:00,62,19,43
2023-12-25T00:00:00,81,26,55
2023-12-27T00:00:00,412,186,226
2023-12-28T00:00:00,507,223,284
2023-12-29T00:00:00,289,130,159
2023-12-30T00:00:00,467,194,273
