Time,Gesamt,Stadteinwärts,Stadtauswärts,
2019-10-01 00:00:00,616,309,307,
2019-10-02 00:00:00,850,442,408,
2019-10-03 00:00:00,256,137,119,
2019-10-04 00:00:00,500,242,258,
2019-10-05 00:00:00,571,279,292,
2019-10-06 00:00:00,178,88,90,
2019-10-07 00:00:00,927,474,453,
2019-10-08 00:00:00,581,285,296,
2019-10-09 00:00:00,707,358,349,
2019-10-10 00:00:00,894,445,449,
2019-10-11 00:00:00,707,333,374,
2019-10-12 00:00:00,721,386,335,
2019-10-13 00:00:00,549,296,253,
2019-10-14 00:00:00,988,488,500,
2019-10-15 00:00:00,824,424,400,
2019-10-16 00:00:00,724,389,335,
2019-10-17 00:00:00,588,292,296,
2019-10-18 00:00:00,667,327,340,
2019-10-19 00:00:00,345,176,169,
2019-10-20 00:00:00,142,59,83,
2019-10-21 00:00:00,777,404,373,
2019-10-22 00:00:00,766,380,386,
2019-10-23 00:00:00,909,456,453,
2019-10-24 00:00:00,945,466,479,
2019-10-25 00:00:00,851,436,415,
2019-10-26 00:00:00,784,382,402,
2019-10-27 00:00:00,312,158,154,
2019-10-28 00:00:00,973,464,509,
2019-10-29 00:00:00,897,451,446,
2019-10-30 00:00:00,812,425,387,
2019-10-31 00:00:00,771,395,376,
2019-11-01 00:00:00,181,83,98,
2019-11-02 00:00:00,420,212,208,
2019-11-03 00:00:00,295,145,150,
2019-11-04 00:00:00,722,354,368,
2019-11-05 00:00:00,690,344,346,
2019-11-06 00:00:00,555,260,295,
2019-11-07 00:00:00,658,337,321,
2019-11-08 00:00:00,702,367,335,
2019-11-09 00:00:00,487,225,262,
2019-11-10 00:00:00,342,155,187,
2019-11-11 00:00:00,733,354,379,
2019-11-12 00:00:00,610,302,308,
2019-11-13 00:00:00,633,320,313,
2019-11-14 00:00:00,694,344,350,
2019-11-15 00:00:00,658,316,342,
2019-11-16 00:00:00,525,261,264,
2019-11-17 00:00:00,189,76,113,
2019-11-18 00:00:00,408,206,202,
2019-11-19 00:00:00,505,250,255,
2019-11-20 00:00:00,694,335,359,
2019-11-21 00:00:00,646,327,319,
2019-11-22 00:00:00,619,322,297,
2019-11-23 00:00:00,528,246,282,
2019-11-24 00:00:00,296,137,159,
2019-11-25 00:00:00,787,398,389,
2019-11-26 00:00:00,728,377,351,
2019-11-27 00:00:00,652,324,328,
2019-11-28 00:00:00,488,247,241,
2019-11-29 00:00:00,721,349,372,
2019-11-30 00:00:00,476,239,237,
2019-12-01 00:00:00,218,108,110,
2019-12-02 00:00:00,599,311,288,
2019-12-03 00:00:00,628,319,309,
